"endtime","starttime","censored","model"
46364,20342,TRUE,16
14506,11366,TRUE,19
35495,14661,TRUE,16
27668,24523,TRUE,16
29489,15281,TRUE,16
40260,22656,TRUE,16
34058,15305,TRUE,16
16134,14174,FALSE,16
28769,11365,TRUE,19
46637,24676,TRUE,16
34756,16289,FALSE,16
24587,12617,FALSE,16
33462,15138,TRUE,16
37529,17152,TRUE,16
30006,11800,TRUE,16
45870,21865,TRUE,16
34959,27968,TRUE,16
34772,25013,TRUE,19
31575,12107,TRUE,16
39790,16290,TRUE,16
34768,27372,TRUE,16
28287,9356,TRUE,16
8498,7022,FALSE,16
39630,20179,TRUE,16
31116,27970,TRUE,16
29898,26751,TRUE,16
39036,20180,TRUE,16
42454,27969,FALSE,16
45750,27376,TRUE,16
46073,27957,TRUE,16
43528,28312,TRUE,16
45511,28690,TRUE,16
34811,28321,FALSE,16
43037,27372,TRUE,16
32589,16461,TRUE,16
37631,27370,FALSE,16
12368,11365,FALSE,19
44759,21354,TRUE,16
11707,1948,TRUE,19
28299,9352,TRUE,16
28769,11366,TRUE,19
23364,9340,TRUE,19
23364,9340,TRUE,19
18579,7137,TRUE,19
22860,9341,FALSE,19
11712,1948,TRUE,19
26159,17778,TRUE,16
33044,7022,TRUE,16
25865,11896,TRUE,16
18581,7138,TRUE,19
33827,11031,TRUE,16
18384,9352,TRUE,16
12212,5700,FALSE,16
21745,3012,TRUE,16
9660,12,TRUE,19
40312,16817,TRUE,16
32605,14802,TRUE,16
28369,15139,FALSE,16
20425,9341,FALSE,19
3068,14,TRUE,19
37318,14800,TRUE,16
16750,7719,TRUE,16
28869,8393,TRUE,16
11710,1948,TRUE,19
11239,1351,TRUE,19
27050,12615,FALSE,16
12308,7402,FALSE,19
23364,9340,TRUE,19
11712,1948,TRUE,19
38947,16145,TRUE,16
21241,9340,TRUE,19
18753,4356,TRUE,16
26823,18764,TRUE,19
33072,25012,TRUE,19
28889,20829,TRUE,19
31749,25018,FALSE,19
21181,6398,FALSE,16
34770,25012,TRUE,19
33072,25010,TRUE,19
10009,1948,TRUE,19
21240,9340,FALSE,19
24470,24356,FALSE,19
21241,9341,TRUE,19
15634,11365,FALSE,19
18579,7137,TRUE,19
7950,5722,TRUE,19
24664,5198,TRUE,16
37542,24644,TRUE,19
32781,24720,TRUE,19
23178,11131,FALSE,16
6976,607,TRUE,19
36756,24355,TRUE,19
13348,1448,TRUE,19
20867,18640,TRUE,19
3576,1348,TRUE,19
